grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
American Council of The Blind Inc.,2011,American Council Of The Blind Enterprises And Services Inc.,"Brooklyn Ctr, MN","American Council Of The Blind Enterprises And Services Inc.   Brooklyn Ctr, MN","$135,720",Operations for exempt purpose
American Council of The Blind Inc.,2010,American Council Of The Blind Enterprises And Services Inc.,"Brooklyn Ctr, MN","American Council Of The Blind Enterprises And Services Inc.   Brooklyn Ctr, MN","$134,700",Operations for exempt purpose
Brooks Rehabilation Hospital,2025,Eye Research Foundation,"Ponte Vedra, FL","Eye Research Foundation   Ponte Vedra, FL","$80,000",Unrestricted
Brooks Rehabilation Hospital,2025,Eye Research Foundation,"Ponte Vedra, FL","Eye Research Foundation   Ponte Vedra, FL","$80,000",Unrestricted
Brooks Rehabilation Hospital,2023,Neviaser Foundation,"Dallas, TX","Neviaser Foundation   Dallas, TX","$25,000",Unrestricted general
Brooks Rehabilation Hospital,2023,Eye Research Foundation,"Ponte Vedra, FL","Eye Research Foundation   Ponte Vedra, FL","$20,000",Unrestricted
Brooks Rehabilation Hospital,2023,Halbrook Family Foundation,"St. Augustine, FL","Halbrook Family Foundation   St. Augustine, FL","$6,500",Healthcare
Brooks Rehabilation Hospital,2022,Florida Essential Healthcare Partnerships Foundation Inc.,"Austin, TX","Florida Essential Healthcare Partnerships Foundation Inc.   Austin, TX","$116,648",
Brooks Rehabilation Hospital,2022,Merz Family Foundation,"Delray Beach, FL","Merz Family Foundation   Delray Beach, FL","$40,000",Charity contribution
Brooks Rehabilation Hospital,2022,Eye Research Foundation,"Ponte Vedra, FL","Eye Research Foundation   Ponte Vedra, FL","$23,000",Unrestricted
Brooks Rehabilation Hospital,2022,Halbrook Family Foundation,"St. Augustine, FL","Halbrook Family Foundation   St. Augustine, FL","$6,500",Healthcare
Brooks Rehabilation Hospital,2022,Stellar Foundation Inc.,"Jacksonville, FL","Stellar Foundation Inc.   Jacksonville, FL","$2,000",General support
Brooks Rehabilation Hospital,2021,Merz Family Foundation,"Delray Beach, FL","Merz Family Foundation   Delray Beach, FL","$40,000",Charity contribution
Brooks Rehabilation Hospital,2021,Halbrook Family Foundation,"St. Augustine, FL","Halbrook Family Foundation   St. Augustine, FL","$6,500",Healthcare
Brooks Rehabilation Hospital,2021,Stellar Foundation Inc.,"Jacksonville, FL","Stellar Foundation Inc.   Jacksonville, FL","$2,500","To further the exempt purpose operation of rehabilitation hospital and clinics in jacksonville, fl and surrounding areas."
