grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Foundation Fighting Blindness Inc.,2024,River Hills Lake Wylie Lions Charities Inc.,"Lake Wylie, SC","River Hills Lake Wylie Lions Charities Inc.   Lake Wylie, SC","$10,000",Program support
Foundation Fighting Blindness Inc.,2024,United Heritage Credit Union,"Austin, TX","United Heritage Credit Union   Austin, TX","$10,000","Donation to find preventions, treatments, and curese for blinding retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2024,Delta Gamma Foundation,"Upper Arlngtn, OH","Delta Gamma Foundation   Upper Arlngtn, OH","$10,000",Aid for blind
Foundation Fighting Blindness Inc.,2024,Cedars Inc.,"Apopka, FL","Cedars Inc.   Apopka, FL","$10,000",Research and support
Foundation Fighting Blindness Inc.,2024,Julius Fleischman Foundation Inc.,"Ocala, FL","Julius Fleischman Foundation Inc.   Ocala, FL","$10,000",Research to cure blindness
Foundation Fighting Blindness Inc.,2024,Kupferberg Foundation Incorporated,"Wilmington, DE","Kupferberg Foundation Incorporated   Wilmington, DE","$10,000",General & unrestricted
Foundation Fighting Blindness Inc.,2024,J W G Foundation Inc.,"North Caldwell, NJ","J W G Foundation Inc.   North Caldwell, NJ","$10,000",Charitable
Foundation Fighting Blindness Inc.,2024,United Heritage Credit Union,"Austin, TX","United Heritage Credit Union   Austin, TX","$10,000","Donation to find preventions, treatments, and curese for blinding retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2024,Millie Luing Foundation Inc.,"Woodland Park, NJ","Millie Luing Foundation Inc.   Woodland Park, NJ","$8,500",An unrestricted grant to further the organization's exempt purpose.
Foundation Fighting Blindness Inc.,2024,Bryanna Foundation,"Rocky Mount, NC","Bryanna Foundation   Rocky Mount, NC","$8,000",General support
Foundation Fighting Blindness Inc.,2024,Give Lively Foundation Inc.,"New York, NY","Give Lively Foundation Inc.   New York, NY","$7,257",General support
Foundation Fighting Blindness Inc.,2024,Pledgeling Foundation,"San Francisco, CA","Pledgeling Foundation   San Francisco, CA","$6,964",General
Foundation Fighting Blindness Inc.,2024,Charities Aid Foundation America,"Alexandria, VA","Charities Aid Foundation America   Alexandria, VA","$6,702",Charitable donation
Foundation Fighting Blindness Inc.,2024,T Rowe Price Program For Charitable Giving Inc.,"Baltimore, MD","T Rowe Price Program For Charitable Giving Inc.   Baltimore, MD","$5,300",Multiple
Foundation Fighting Blindness Inc.,2024,Kent And Jeannine Kalkwarf Charitable Foundation,"Clayton, MO","Kent And Jeannine Kalkwarf Charitable Foundation   Clayton, MO","$5,250",Medical research
Foundation Fighting Blindness Inc.,2024,Jewish Endowment Foundation Of South Carolina,"N Charleston, SC","Jewish Endowment Foundation Of South Carolina   N Charleston, SC","$5,200",General support
Foundation Fighting Blindness Inc.,2024,The Community Foundatio Of Louisville Depository Inc.,"Louisville, KY","The Community Foundatio Of Louisville Depository Inc.   Louisville, KY","$5,100",G41 eye diseases blindness & vision impairment
Foundation Fighting Blindness Inc.,2024,Beth And Ravenel Curry Foundation,"Erie, PA","Beth And Ravenel Curry Foundation   Erie, PA","$5,000",Unrestricted
Foundation Fighting Blindness Inc.,2024,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$5,000",Visionwalk.
Foundation Fighting Blindness Inc.,2024,Nickolas Bunn Boddie Sr & Lucy Maye Boddie Foundation Term,"Rocky Mount, NC","Nickolas Bunn Boddie Sr & Lucy Maye Boddie Foundation Term   Rocky Mount, NC","$5,000",Charitable
Foundation Fighting Blindness Inc.,2024,Boddie Noell Foundation,"Rocky Mount, NC","Boddie Noell Foundation   Rocky Mount, NC","$5,000",Charitable
Foundation Fighting Blindness Inc.,2024,Intact Charitable Trust Usa,"Plymouth, MN","Intact Charitable Trust Usa   Plymouth, MN","$5,000",Donation
Foundation Fighting Blindness Inc.,2024,Allstate Foundation,"Northbrook, IL","Allstate Foundation   Northbrook, IL","$5,000",Helping hands group grants
Foundation Fighting Blindness Inc.,2024,Curtis W Mc Graw Foundation,"Pennington, NJ","Curtis W Mc Graw Foundation   Pennington, NJ","$5,000",Unrestricted general
Foundation Fighting Blindness Inc.,2024,Oconnor & Hewitt Foundation,"Victoria, TX","Oconnor & Hewitt Foundation   Victoria, TX","$5,000","Support of research for prevention, treatments and vision restoration for degenerative retinal diseases."
Foundation Fighting Blindness Inc.,2024,Oconnor & Hewitt Foundation,"Victoria, TX","Oconnor & Hewitt Foundation   Victoria, TX","$5,000","Support of research for prevention, treatments and vision restoration for degenerative retinal diseases."
Foundation Fighting Blindness Inc.,2024,Naperville Noon Lions Foundation,"Naperville, IL","Naperville Noon Lions Foundation   Naperville, IL","$5,000",Grant to assist those affected by blindness.
Foundation Fighting Blindness Inc.,2024,Gourlay Mary Charitable Trust,"Saint Louis, MO","Gourlay Mary Charitable Trust   Saint Louis, MO","$5,000",General operating
Foundation Fighting Blindness Inc.,2024,The Confidence Foundation,"Pasadena, CA","The Confidence Foundation   Pasadena, CA","$5,000",Save sight now
Foundation Fighting Blindness Inc.,2024,Carlson Family Foundation Inc.,"Chapel Hill, NC","Carlson Family Foundation Inc.   Chapel Hill, NC","$5,000",Discretionary grant
Foundation Fighting Blindness Inc.,2024,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$5,000",Visionwalk.
Foundation Fighting Blindness Inc.,2024,The Anna Amoldrup Foundation Inc. 901 012165202521,"Orlando, FL","The Anna Amoldrup Foundation Inc. 901 012165202521   Orlando, FL","$5,000",General operating
Foundation Fighting Blindness Inc.,2024,Marek Family Foundation,"Houston, TX","Marek Family Foundation   Houston, TX","$5,000","To support research, prevention, treatment and cures for people affected by blindness"
Foundation Fighting Blindness Inc.,2024,Robert H & Anita Q Lawe Foundation,"Cypress, TX","Robert H & Anita Q Lawe Foundation   Cypress, TX","$3,100",Gift
Foundation Fighting Blindness Inc.,2024,Ashkin Kahn Family Foundation Inc.,"Jericho, NY","Ashkin Kahn Family Foundation Inc.   Jericho, NY","$3,075",General charitable sec 501c 3/170(b)(iv)
Foundation Fighting Blindness Inc.,2024,Michael And Mary Johnston Foundation Inc.,"Watchung, NJ","Michael And Mary Johnston Foundation Inc.   Watchung, NJ","$3,000",General use
Foundation Fighting Blindness Inc.,2024,Richard James Mc Cann Foundation,"Wheaton, IL","Richard James Mc Cann Foundation   Wheaton, IL","$3,000",General operations
Foundation Fighting Blindness Inc.,2024,East Coast Energy Foundation Inc.,"Bronx, NY","East Coast Energy Foundation Inc.   Bronx, NY","$3,000",To support research for retinal diseases
Foundation Fighting Blindness Inc.,2024,Meyer And Raena Hammerman Foundation,"Chicago, IL","Meyer And Raena Hammerman Foundation   Chicago, IL","$2,813",Operating programs
Foundation Fighting Blindness Inc.,2024,Rich Foundation,"Sugar Grove, IL","Rich Foundation   Sugar Grove, IL","$2,500",Charitable to support organization's mission
Foundation Fighting Blindness Inc.,2024,Whalley Foundation Inc.,"Houston, TX","Whalley Foundation Inc.   Houston, TX","$2,500",Fund programs
Foundation Fighting Blindness Inc.,2024,Rich Foundation,"Sugar Grove, IL","Rich Foundation   Sugar Grove, IL","$2,500",Charitable to support organization's mission
Foundation Fighting Blindness Inc.,2024,Crane Fund For Widows And Children,"Englewd Clfs, NJ","Crane Fund For Widows And Children   Englewd Clfs, NJ","$2,500",General purpose
Foundation Fighting Blindness Inc.,2024,Mark And Karen Gergel Foundation Inc.,"Destin, FL","Mark And Karen Gergel Foundation Inc.   Destin, FL","$2,500",Unrestricted
Foundation Fighting Blindness Inc.,2024,Kaplan Foundation,"Northbrook, IL","Kaplan Foundation   Northbrook, IL","$2,500",Funding research for blindness cures
Foundation Fighting Blindness Inc.,2024,Edward E Hood Jr Foundation,"Stamford, CT","Edward E Hood Jr Foundation   Stamford, CT","$2,500",General charitable
Foundation Fighting Blindness Inc.,2024,Darrow Foundation,"Novato, CA","Darrow Foundation   Novato, CA","$2,000",Eleemosynary
Foundation Fighting Blindness Inc.,2024,Donald R And Esther Simon Foundation,"Farmingtn Hls, MI","Donald R And Esther Simon Foundation   Farmingtn Hls, MI","$2,000",Unrestricted grant to general fund
Foundation Fighting Blindness Inc.,2024,Gloria C Crotty Charitable Foundation,"Boston, MA","Gloria C Crotty Charitable Foundation   Boston, MA","$2,000",Charitable
Foundation Fighting Blindness Inc.,2024,Margaret Marie Graf Foundation,"Austin, TX","Margaret Marie Graf Foundation   Austin, TX","$2,000",Charitable purpose of foundation
Foundation Fighting Blindness Inc.,2024,Mark P & Joyce A Davis Char Tr,"Dallas, TX","Mark P & Joyce A Davis Char Tr   Dallas, TX","$2,000",Unrestricted general
Foundation Fighting Blindness Inc.,2024,Robert And Eleanor Demple Family Foundation,"Sheridan, WY","Robert And Eleanor Demple Family Foundation   Sheridan, WY","$2,000",Health
Foundation Fighting Blindness Inc.,2024,Joseph & Arlene Taub Foundation,"Florham Park, NJ","Joseph & Arlene Taub Foundation   Florham Park, NJ","$1,500",Unrestricted grant to support the organization's exempt purpose.
Foundation Fighting Blindness Inc.,2024,Baird Foundation Inc.,"Milwaukee, WI","Baird Foundation Inc.   Milwaukee, WI","$1,500",Health and human services
Foundation Fighting Blindness Inc.,2024,Red Top Foundation,"Orchard Park, NY","Red Top Foundation   Orchard Park, NY","$1,500",Medical
Foundation Fighting Blindness Inc.,2024,Loeb Family Foundation Inc.,"Winnetka, IL","Loeb Family Foundation Inc.   Winnetka, IL","$1,500",Charitable contribution
Foundation Fighting Blindness Inc.,2024,Norman & Myra Ricken Trust Charitable Trust,"West Palm Beach, FL","Norman & Myra Ricken Trust Charitable Trust   West Palm Beach, FL","$1,250",General
Foundation Fighting Blindness Inc.,2024,Judith And Donald Bechler Foundation Inc.,"Plainview, NY","Judith And Donald Bechler Foundation Inc.   Plainview, NY","$1,250",Unrestricted
Foundation Fighting Blindness Inc.,2024,Hyman & Ruth Muss Foundation Inc.,"Forest Hills, NY","Hyman & Ruth Muss Foundation Inc.   Forest Hills, NY","$1,250",Charitable
Foundation Fighting Blindness Inc.,2024,Isley Family Foundation,"Raleigh, NC","Isley Family Foundation   Raleigh, NC","$1,050",General support
Foundation Fighting Blindness Inc.,2024,291 Foundation,"New York, NY","291 Foundation   New York, NY","$1,025",General purposes
Foundation Fighting Blindness Inc.,2024,Koret Foundation,"San Francisco, CA","Koret Foundation   San Francisco, CA","$1,000","General operating support for the 2024 denver visionwalk in honor of sarah-jane cohen (team usher mushers"")"""
Foundation Fighting Blindness Inc.,2024,Pipkin Charitable Foundation,"Los Angeles, CA","Pipkin Charitable Foundation   Los Angeles, CA","$1,000",Health
Foundation Fighting Blindness Inc.,2024,Jarvis Foundation,"Northbrook, IL","Jarvis Foundation   Northbrook, IL","$1,000",To further the exempt purpose of the organization
Foundation Fighting Blindness Inc.,2024,Chatlos Foundation Inc.,"Longwood, FL","Chatlos Foundation Inc.   Longwood, FL","$1,000",Toward retinal disease research
Foundation Fighting Blindness Inc.,2024,Chaucer Charitable Foundation,"Raleigh, NC","Chaucer Charitable Foundation   Raleigh, NC","$1,000",General support
Foundation Fighting Blindness Inc.,2024,Allensby Charity Fund,"San Rafael, CA","Allensby Charity Fund   San Rafael, CA","$1,000",Charitable
Foundation Fighting Blindness Inc.,2024,Endless Hope Private Foundation Inc.,"Dallas, TX","Endless Hope Private Foundation Inc.   Dallas, TX","$1,000",General support
Foundation Fighting Blindness Inc.,2024,Gail G Ellis Foundation Inc.,"Bannockburn, IL","Gail G Ellis Foundation Inc.   Bannockburn, IL","$1,000",Public charity
Foundation Fighting Blindness Inc.,2024,Aldo And Mary Pat Palombo Trust Foundation Inc.,"Marco Island, FL","Aldo And Mary Pat Palombo Trust Foundation Inc.   Marco Island, FL","$1,000",Support cause
Foundation Fighting Blindness Inc.,2024,Steve And Kelly Bloom Family Foundation,"Steamboat Spr, CO","Steve And Kelly Bloom Family Foundation   Steamboat Spr, CO","$1,000",Funding research for blindness
Foundation Fighting Blindness Inc.,2024,Jd Foundation,"Nashua, NH","Jd Foundation   Nashua, NH","$1,000",General purposes
Foundation Fighting Blindness Inc.,2024,Barry Friedberg & Charlotte Moss Fam Foundation,"New York, NY","Barry Friedberg & Charlotte Moss Fam Foundation   New York, NY","$1,000",General support
Foundation Fighting Blindness Inc.,2024,David G And Nancy B Walsh Family Foundation,"Madison, WI","David G And Nancy B Walsh Family Foundation   Madison, WI","$1,000",General charitable
Foundation Fighting Blindness Inc.,2024,Woodland Foundation,"Barrington, IL","Woodland Foundation   Barrington, IL","$1,000",Charitable
Foundation Fighting Blindness Inc.,2024,Welsh Family Foundation Inc.,"Vero Beach, FL","Welsh Family Foundation Inc.   Vero Beach, FL","$1,000",Unrestricted
Foundation Fighting Blindness Inc.,2024,Bruce And Ann Bachmann Family Foundation,"Northbrook, IL","Bruce And Ann Bachmann Family Foundation   Northbrook, IL","$1,000",To foster and promote activities of recipient.
Foundation Fighting Blindness Inc.,2024,Commonwealth Fund,"New York, NY","Commonwealth Fund   New York, NY",$750,Matching gifts for general operating support
Foundation Fighting Blindness Inc.,2024,Select Equity Group Foundation,"New York, NY","Select Equity Group Foundation   New York, NY",$750,Matching gift
Foundation Fighting Blindness Inc.,2024,Ruth And Jack Glantz Family Foundation Inc.,"Wilmington, DE","Ruth And Jack Glantz Family Foundation Inc.   Wilmington, DE",$750,50% programs and services/50% general support
Foundation Fighting Blindness Inc.,2024,James R And Lesley B Anixter Family Foundation,"Highland Park, IL","James R And Lesley B Anixter Family Foundation   Highland Park, IL",$660,To further the mission of the donee
Foundation Fighting Blindness Inc.,2024,Edward Jones Foundation,"Saint Louis, MO","Edward Jones Foundation   Saint Louis, MO",$605,"Diseases, disorders, medical disciplines"
